mjd	why	night_mjd	sequence
60170.36388888889	cadence	60170	XMM-LSS_g
60171.260416666664	cadence	60171	Euclid_g
60171.36388888889	cadence	60171	ECDFS_g
60172.3	cadence	60172	Elias_S1_g
60172.36388888889	cadence	60172	XMM-LSS_g
60173.260416666664	cadence	60173	Euclid_g
60173.36388888889	cadence	60173	ECDFS_g
60174.28888888889	cadence	60174	Elias_S1_g
60174.3625	cadence	60174	XMM-LSS_g
60175.260416666664	cadence	60175	Euclid_g
60175.3625	cadence	60175	ECDFS_g
60176.28888888889	cadence	60176	Elias_S1_g
60176.35138888889	cadence	60176	XMM-LSS_g
60177.25277777778	cadence	60177	Euclid_g
60177.35138888889	cadence	60177	ECDFS_g
60178.27777777778	cadence	60178	Elias_S1_g
60178.35138888889	cadence	60178	XMM-LSS_g
60179.25277777778	pregap	60179	Euclid_g
60179.35138888889	cadence	60179	ECDFS_g
60180.27638888889	cadence	60180	Elias_S1_g
60180.35138888889	cadence	60180	XMM-LSS_g
60181.30138888889	pregap	60181	XMM-LSS_g
60181.35138888889	cadence	60181	ECDFS_g
60182.30902777778	cadence	60182	Elias_S1_g
60182.35833333333	pregap	60182	ECDFS_g
60183.35138888889	pregap	60183	Elias_S1_g
60187.35138888889	bridge	60187	XMM-LSS_g
60189.35138888889	bridge	60189	ECDFS_g
60190.24513888889	bridge	60190	Elias_S1_g
60192.1125	postgap	60192	Elias_S1_g
60194.19513888889	cadence	60194	Elias_S1_g
60194.24444444444	postgap	60194	ECDFS_g
60194.29305555556	postgap	60194	XMM-LSS_g
60195.260416666664	postgap	60195	Euclid_g
60196.18402777778	cadence	60196	XMM-LSS_g
60196.2375	cadence	60196	Elias_S1_g
60196.33125	cadence	60196	ECDFS_g
60197.291666666664	cadence	60197	Euclid_g
60198.22638888889	cadence	60198	Elias_S1_g
60198.28888888889	cadence	60198	XMM-LSS_g
60198.34027777778	cadence	60198	ECDFS_g
60199.291666666664	cadence	60199	Euclid_g
60200.22638888889	cadence	60200	Elias_S1_g
60200.28888888889	cadence	60200	XMM-LSS_g
60200.34027777778	cadence	60200	ECDFS_g
60201.291666666664	cadence	60201	Euclid_g
60202.21527777778	cadence	60202	Elias_S1_g
60202.27777777778	cadence	60202	XMM-LSS_g
60202.33263888889	cadence	60202	ECDFS_g
60203.291666666664	cadence	60203	Euclid_g
60204.21388888889	cadence	60204	Elias_S1_g
60204.27777777778	cadence	60204	XMM-LSS_g
60204.33125	cadence	60204	ECDFS_g
60205.29027777778	cadence	60205	Euclid_g
60206.20625	cadence	60206	Elias_S1_g
60206.27013888889	cadence	60206	XMM-LSS_g
60206.32013888889	cadence	60206	ECDFS_g
60207.28888888889	cadence	60207	Euclid_g
60208.19513888889	cadence	60208	Elias_S1_g
60208.27013888889	cadence	60208	XMM-LSS_g
60208.32013888889	cadence	60208	ECDFS_g
60209.28402777778	pregap	60209	Euclid_g
60210.21527777778	pregap	60210	XMM-LSS_g
60210.26875	cadence	60210	Elias_S1_g
60210.31805555556	pregap	60210	ECDFS_g
60211.3	pregap	60211	Elias_S1_g
60212.33263888889	bridge	60212	Elias_S1_g
60215.32013888889	bridge	60215	ECDFS_g
60216.15902777778	bridge	60216	Euclid_g
60216.25763888889	bridge	60216	XMM-LSS_g
60219.00763888889	postgap	60219	Elias_S1_g
60221.10138888889	cadence	60221	Elias_S1_g
60222.14513888889	postgap	60222	ECDFS_g
60223.16388888889	cadence	60223	Elias_S1_g
60223.21319444444	postgap	60223	XMM-LSS_g
60223.26180555556	postgap	60223	Euclid_g
60224.21527777778	cadence	60224	ECDFS_g
60225.15277777778	cadence	60225	Elias_S1_g
60225.22638888889	cadence	60225	XMM-LSS_g
60226.166666666664	cadence	60226	Euclid_g
60226.27013888889	cadence	60226	ECDFS_g
60227.15138888889	cadence	60227	Elias_S1_g
60227.21527777778	cadence	60227	XMM-LSS_g
60228.166666666664	cadence	60228	Euclid_g
60228.26875	cadence	60228	ECDFS_g
60229.14375	cadence	60229	Elias_S1_g
60229.21527777778	cadence	60229	XMM-LSS_g
60230.15902777778	cadence	60230	Euclid_g
60230.25763888889	cadence	60230	ECDFS_g
60231.13263888889	cadence	60231	Elias_S1_g
60231.20763888889	cadence	60231	XMM-LSS_g
60232.15902777778	cadence	60232	Euclid_g
60232.25763888889	cadence	60232	ECDFS_g
60233.13263888889	cadence	60233	Elias_S1_g
60233.20625	cadence	60233	XMM-LSS_g
60234.146527777775	cadence	60234	Euclid_g
60234.24652777778	cadence	60234	ECDFS_g
60235.12152777778	cadence	60235	Elias_S1_g
60235.19513888889	cadence	60235	XMM-LSS_g
60236.146527777775	cadence	60236	Euclid_g
60236.24513888889	cadence	60236	ECDFS_g
60237.15277777778	cadence	60237	Elias_S1_g
60237.20208333333	cadence	60237	XMM-LSS_g
60238.135416666664	pregap	60238	Euclid_g
60238.23888888889	cadence	60238	ECDFS_g
60239.24513888889	cadence	60239	Elias_S1_g
60239.294444444444	pregap	60239	XMM-LSS_g
60240.22638888889	cadence	60240	ECDFS_g
60240.27777777778	pregap	60240	Elias_S1_g
60241.30138888889	pregap	60241	ECDFS_g
60242.1125	bridge	60242	Elias_S1_g
60243.18263888889	bridge	60243	XMM-LSS_g
60243.30138888889	bridge	60243	ECDFS_g
60249.05138888889	postgap	60249	Elias_S1_g
60250.03888888889	pregap	60250	XMM-LSS_g
60250.09027777778	postgap	60250	ECDFS_g
60251.08263888889	pregap	60251	Elias_S1_g
60251.13263888889	pregap	60251	ECDFS_g
60259.05902777778	postgap	60259	Elias_S1_g
60259.13263888889	postgap	60259	XMM-LSS_g
60259.18263888889	postgap	60259	ECDFS_g
60259.231944444444	postgap	60259	Euclid_g
60261.05763888889	cadence	60261	Elias_S1_g
60261.12152777778	cadence	60261	XMM-LSS_g
60261.17638888889	cadence	60261	ECDFS_g
60261.225694444445	cadence	60261	Euclid_g
60263.05	cadence	60263	Elias_S1_g
60263.12152777778	cadence	60263	XMM-LSS_g
60263.175	cadence	60263	ECDFS_g
60263.22430555556	cadence	60263	Euclid_g
60265.05902777778	cadence	60265	Elias_S1_g
60265.11388888889	cadence	60265	XMM-LSS_g
60265.16388888889	cadence	60265	ECDFS_g
60265.21319444444	cadence	60265	Euclid_g
60267.05	cadence	60267	Elias_S1_g
60267.12152777778	cadence	60267	XMM-LSS_g
60267.175	cadence	60267	ECDFS_g
60267.22430555556	cadence	60267	Euclid_g
60268.03888888889	pregap	60268	Elias_S1_g
60268.09652777778	pregap	60268	Euclid_g
60268.19513888889	pregap	60268	XMM-LSS_g
60269.25763888889	cadence	60269	ECDFS_g
60270.27013888889	pregap	60270	ECDFS_g
60272.03958333333	bridge	60272	Elias_S1_g
60273.10138888889	bridge	60273	XMM-LSS_g
60275.12777777778	bridge	60275	Euclid_g
60277.04375	bridge	60277	ECDFS_g
60279.04513888889	postgap	60279	Elias_S1_g
60279.09444444445	postgap	60279	ECDFS_g
60280.08125	postgap	60280	XMM-LSS_g
60281.04652777778	cadence	60281	Elias_S1_g
60281.12152777778	cadence	60281	ECDFS_g
